order_id,date,seller_id,sku,region,currency,fx_rate_to_rub,vat_pct,price_gross,is_test,qty,is_promo
ORD0000008,01-06-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,336.94,0,7,0
ORD0000200,29-06-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,353.79,0,20,1
ORD0000201,30-06-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,347.49,0,15,1
ORD0001543,30-06-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,459.93,0,11,1
ORD0001544,30-06-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,212.27,0,8,1
ORD0000202,01-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,555.98,0,7,1
ORD0001443,01-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,208.49,0,19,1
ORD0001444,01-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,399.61,0,11,0
ORD0000203,02-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,389.19,0,11,1
ORD0000204,03-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,295.37,0,4,1
ORD0001819,03-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,301.28,0,8,1
ORD0001820,03-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,295.37,0,3,0
ORD0000205,04-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,265.83,0,2,1
ORD0001545,04-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,271.15,0,12,1
ORD0001546,04-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,271.15,0,6,1
ORD0000206,05-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,340.26,0,2,1
ORD0000207,06-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,300.27,0,1,1
ORD0000208,07-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,275.75,0,12,1
ORD0000209,08-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,239.25,0,12,1
ORD0001261,08-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,186.08,0,17,0
ORD0001262,08-07-25,S040,SKU0001,CN-SH,CNY,12.6958,0.13,159.5,0,10,1
ORD0000047,06-06-25,S050,SKU0001,RU-MOW,RUB,1,0.2,359.74,0,16,1
ORD0000177,27-06-25,S050,SKU0001,RU-MOW,RUB,1,0.2,331.89,0,15,1
ORD0001503,27-06-25,S050,SKU0001,RU-MOW,RUB,1,0.2,341.85,0,15,0
ORD0001504,27-06-25,S050,SKU0001,RU-MOW,RUB,1,0.2,331.89,0,19,1
ORD0000210,20-07-25,S050,SKU0001,RU-MOW,RUB,1,0.2,315.3,0,12,0
ORD0000211,21-07-25,S050,SKU0001,RU-MOW,RUB,1,0.2,504.48,0,20,1
ORD0000212,22-07-25,S050,SKU0001,RU-MOW,RUB,1,0.2,409.49,0,3,1
ORD0000213,23-07-25,S050,SKU0001,RU-MOW,RUB,1,0.2,220.71,0,5,1
ORD0000214,24-07-25,S050,SKU0001,RU-MOW,RUB,1,0.2,121.39,0,19,0
ORD0000215,25-07-25,S050,SKU0001,RU-MOW,RUB,1,0.2,123.97,0,7,1
ORD0000074,12-06-25,S018,SKU0002,CN-SH,CNY,12.5879,0.13,268.73,0,9,0
